127.0.0.1 - - [07/Jun/2022:13:38:29 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /winefine/main.do HTTP/1.1" 200 22459
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /winefine/resources/images/icon_mypage.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /winefine/resources/images/icon_cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /winefine/resources/images/winefine_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /winefine/resources/images/icon_center.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /winefine/resources/images/icon_search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /winefine/resources/images/wine%20img1.jpg HTTP/1.1" 200 1657612
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /winefine/resources/images/wine%20img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /winefine/resources/images/wine%20img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /winefine/resources/images/pc_gray_arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /winefine/resources/images/prev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /winefine/resources/images/next.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /winefine/resources/images/btn_hidden_info_close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:34 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:41 +0900] "GET /winefine/loginForm.me HTTP/1.1" 200 22178
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:41 +0900] "GET /winefine/resources/images/wineLogin.jpg HTTP/1.1" 200 2159221
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:47 +0900] "POST /winefine/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:47 +0900] "GET /winefine/main.do HTTP/1.1" 200 22921
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:50 +0900] "GET /winefine/myPage.me HTTP/1.1" 200 19959
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:53 +0900] "GET /winefine/store.th?currentPage=1 HTTP/1.1" 200 31792
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:53 +0900] "GET /winefine/resources/product_upfiles/nebula.png HTTP/1.1" 200 32979
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:53 +0900] "GET /winefine/resources/product_upfiles/vineyard.png HTTP/1.1" 200 35129
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:53 +0900] "GET /winefine/resources/product_upfiles/tannat.png HTTP/1.1" 200 33278
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:53 +0900] "GET /winefine/resources/product_upfiles/susana.png HTTP/1.1" 200 31966
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:53 +0900] "GET /winefine/resources/product_upfiles/cervaro.png HTTP/1.1" 200 38823
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:53 +0900] "GET /winefine/resources/product_upfiles/sodale.png HTTP/1.1" 200 25295
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:53 +0900] "GET /winefine/resources/product_upfiles/gelsi.png HTTP/1.1" 200 30422
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:53 +0900] "GET /winefine/resources/product_upfiles/RISERVA.png HTTP/1.1" 200 25600
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:53 +0900] "GET /winefine/resources/product_upfiles/GUIDALBERTO.png HTTP/1.1" 200 33025
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:53 +0900] "GET /winefine/resources/images/videos.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:54 +0900] "GET /winefine/store.pr?pno=43 HTTP/1.1" 200 27448
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:54 +0900] "GET /winefine/resources/images/vivino-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:54 +0900] "GET /winefine/resources/product_upfiles/susana_1.png HTTP/1.1" 200 162301
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:57 +0900] "POST /winefine/insertList.ca HTTP/1.1" 200 25095
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:38:59 +0900] "GET /winefine/store.th?currentPage=1 HTTP/1.1" 200 31792
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:39:00 +0900] "GET /winefine/store.pr?pno=42 HTTP/1.1" 200 27471
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:39:00 +0900] "GET /winefine/resources/product_upfiles/nebula_1.png HTTP/1.1" 200 175442
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:39:04 +0900] "POST /winefine/insertList.ca HTTP/1.1" 200 28052
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:40:05 +0900] "POST /winefine/views/store/buy.jsp HTTP/1.1" 200 24154
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:40:21 +0900] "POST /winefine/buyToPay.st HTTP/1.1" 200 4667
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:40:45 +0900] "POST /payments/complete HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:40:45 +0900] "GET /winefine/insertOrder.me?pickup=%EA%B9%80%ED%95%9C%EC%86%94&pickupDate=2022-06-30&locationCode=1&paymentCode=1 HTTP/1.1" 200 20694
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:40:52 +0900] "GET /winefine/main.do HTTP/1.1" 200 22880
